,full_name,short_name,full_question
39,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.4..hh_pop_repeat_grp.person_gender,person_gender_4,Gender..3
40,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.4..hh_pop_repeat_grp.person_age,person_age_4,Age.in.years..3
41,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.4..hh_pop_repeat_grp.head_person,head_person_4,Is.head.of.household..3
42,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.4..hh_pop_repeat_grp.person_location,person_location_4,Living.at.home.or.away.migrated..3
43,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.5..hh_pop_rep_num,hh_pop_rep_num_5,hh_pop_rep_num.4
44,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.5..hh_pop_repeat_grp.person_gender,person_gender_5,Gender..4
45,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.5..hh_pop_repeat_grp.person_age,person_age_5,Age.in.years..4
46,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.5..hh_pop_repeat_grp.head_person,head_person_5,Is.head.of.household..4
47,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.5..hh_pop_repeat_grp.person_location,person_location_5,Living.at.home.or.away.migrated..4
48,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.6..hh_pop_rep_num,hh_pop_rep_num_6,hh_pop_rep_num.5
49,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.6..hh_pop_repeat_grp.person_gender,person_gender_6,Gender..5
50,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.6..hh_pop_repeat_grp.person_age,person_age_6,Age.in.years..5
51,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.6..hh_pop_repeat_grp.head_person,head_person_6,Is.head.of.household..5
52,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.6..hh_pop_repeat_grp.person_location,person_location_6,Living.at.home.or.away.migrated..5
53,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.7..hh_pop_rep_num,hh_pop_rep_num_7,hh_pop_rep_num.6
54,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.7..hh_pop_repeat_grp.person_gender,person_gender_7,Gender..6
55,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.7..hh_pop_repeat_grp.person_age,person_age_7,Age.in.years..6
56,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.7..hh_pop_repeat_grp.head_person,head_person_7,Is.head.of.household..6
57,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.7..hh_pop_repeat_grp.person_location,person_location_7,Living.at.home.or.away.migrated..6
58,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.8..hh_pop_rep_num,hh_pop_rep_num_8,hh_pop_rep_num.7
59,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.8..hh_pop_repeat_grp.person_gender,person_gender_8,Gender..7
60,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.8..hh_pop_repeat_grp.person_age,person_age_8,Age.in.years..7
61,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.8..hh_pop_repeat_grp.head_person,head_person_8,Is.head.of.household..7
62,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.8..hh_pop_repeat_grp.person_location,person_location_8,Living.at.home.or.away.migrated..7
63,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.9..hh_pop_rep_num,hh_pop_rep_num_9,hh_pop_rep_num.8
64,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.9..hh_pop_repeat_grp.person_gender,person_gender_9,Gender..8
65,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.9..hh_pop_repeat_grp.person_age,person_age_9,Age.in.years..8
66,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.9..hh_pop_repeat_grp.head_person,head_person_9,Is.head.of.household..8
67,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.9..hh_pop_repeat_grp.person_location,person_location_9,Living.at.home.or.away.migrated..8
68,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.10..hh_pop_rep_num,hh_pop_rep_num_10,hh_pop_rep_num.9
69,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.10..hh_pop_repeat_grp.person_gender,person_gender_10,Gender..9
70,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.10..hh_pop_repeat_grp.person_age,person_age_10,Age.in.years..9
71,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.10..hh_pop_repeat_grp.head_person,head_person_10,Is.head.of.household..9
72,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.10..hh_pop_repeat_grp.person_location,person_location_10,Living.at.home.or.away.migrated..9
73,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.11..hh_pop_rep_num,hh_pop_rep_num_11,hh_pop_rep_num.10
74,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.11..hh_pop_repeat_grp.person_gender,person_gender_11,Gender..10
75,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.11..hh_pop_repeat_grp.person_age,person_age_11,Age.in.years..10
76,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.11..hh_pop_repeat_grp.head_person,head_person_11,Is.head.of.household..10
77,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.11..hh_pop_repeat_grp.person_location,person_location_11,Living.at.home.or.away.migrated..10
78,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.12..hh_pop_rep_num,hh_pop_rep_num_12,hh_pop_rep_num.11
79,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.12..hh_pop_repeat_grp.person_gender,person_gender_12,Gender..11
80,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.12..hh_pop_repeat_grp.person_age,person_age_12,Age.in.years..11
81,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.12..hh_pop_repeat_grp.head_person,head_person_12,Is.head.of.household..11
82,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.12..hh_pop_repeat_grp.person_location,person_location_12,Living.at.home.or.away.migrated..11
83,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.13..hh_pop_rep_num,hh_pop_rep_num_13,hh_pop_rep_num.12
84,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.13..hh_pop_repeat_grp.person_gender,person_gender_13,Gender..12
85,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.13..hh_pop_repeat_grp.person_age,person_age_13,Age.in.years..12
86,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.13..hh_pop_repeat_grp.head_person,head_person_13,Is.head.of.household..12
87,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.13..hh_pop_repeat_grp.person_location,person_location_13,Living.at.home.or.away.migrated..12
88,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.14..hh_pop_rep_num,hh_pop_rep_num_14,hh_pop_rep_num.13
89,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.14..hh_pop_repeat_grp.person_gender,person_gender_14,Gender..13
90,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.14..hh_pop_repeat_grp.person_age,person_age_14,Age.in.years..13
91,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.14..hh_pop_repeat_grp.head_person,head_person_14,Is.head.of.household..13
92,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.14..hh_pop_repeat_grp.person_location,person_location_14,Living.at.home.or.away.migrated..13
93,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.hh_pop_repeat_grp.person_gender,person_gender,Gender..14
94,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.hh_pop_repeat_grp.person_age,person_age,Age.in.years..14
95,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.hh_pop_repeat_grp.head_person,head_person,Is.head.of.household..14
96,survey_grp.SECTION_HOUSEHOLD_INFO.householdpopulation.hh_pop_repeat.hh_pop_repeat_grp.person_location,person_location,Living.at.home.or.away.migrated..14
97,survey_grp.SECTION_HOUSEHOLD_INFO.HouseholdHeadDetails.education_level,education_level,What.is.the.highest.level.of.education.the.head.person.has.completed.
98,survey_grp.SECTION_HOUSEHOLD_INFO.HouseholdHeadDetails.education_level_spouse,education_level_spouse,What.is.the.highest.level.of.education.the.spouse.of.the.head.person.has.completed.
99,survey_grp.SECTION_HOUSEHOLD_INFO.HouseholdHeadDetails.religion,religion,What.religion.do.you.follow.
100,survey_grp.SECTION_HOUSEHOLD_INFO.religion_other,religion_other,Define..other..religion.
101,survey_grp.SECTION_Farm_size.land_tenure,land_tenure,Does.your.household.own.land..Or.rent.land.
102,survey_grp.use_common_land,use_common_land,Does.your.household.use.common.land.
103,survey_grp.land_ownership_cert_group.landowned_cert,landowned_cert,How.much.land.does.your.household.own..with.certificates..
104,survey_grp.land_ownership_cert_group.unitland_owned_cert,unitland_owned_cert,Unit.of.land.area.
105,survey_grp.land_ownership_cert_group.land_ownership_cert,land_ownership_cert,Who.in.the.family.owns.the.land..with.certificates..
106,survey_grp.areaunits_other_own_cert,areaunits_other_own_cert,Specify.other.area.units.
107,survey_grp.land_ownership_group_no_cert.landowned_no_cert,landowned_no_cert,How.much.land.does.your.household.own..without.certificates..
108,survey_grp.land_ownership_group_no_cert.unitland_owned_no_cert,unitland_owned_no_cert,Unit.of.land.area..1
109,survey_grp.land_ownership_group_no_cert.land_ownership_no_cert,land_ownership_no_cert,Who.in.the.family.owns.the.land..without.certificates..
110,survey_grp.areaunits_other_own_no_cert,areaunits_other_own_no_cert,Specify.other.area.units..1
111,survey_grp.landrentals.landrentin,landrentin,About.how.much.land.does.your.household.rent.in.for.use.
112,survey_grp.landrentals.unitland_rentin,unitland_rentin,Unit.of.land.area..2
113,survey_grp.areaunits_other_rent,areaunits_other_rent,Specify.other.area.units..2
114,survey_grp.total_land_cult.landcultivated,landcultivated,In.total..how.much.land.did.your.household.use.for.growing.crops.during.the.last.12.months.
115,survey_grp.total_land_cult.unitland,unitland,Unit.of.land.area..3
116,survey_grp.areaunits_other,areaunits_other,Specify.other.area.units..3
117,survey_grp.Farm_labour,Farm_labour,Who.works.on.your.land..Consider.crops..livestock..any.farm.activities.
118,survey_grp.land_slope,land_slope,Is.your.land.mostly.flat..straight...sloping.or.steep.slopes.
119,survey_grp.gardenpasture.homegarden,homegarden,Does.your.household.have.a.home.garden.or.other.place.where.you.grow.vegetables.and.fruits.for.home.consumption.
120,survey_grp.crop_intro.grow_crops,grow_crops,Does.your.household.grow.any.crops.
121,survey_grp.SECTION_Crop_Productivity.cropcatalogue.crops_all,crops_all,Which.crops.were.grown.by.your.household.during.the.last.12.months.
122,survey_grp.SECTION_Crop_Productivity.crops_other_specify.crops_other1,crops_other1,Specify.other.crop..1..
123,survey_grp.SECTION_Crop_Productivity.crops_other_specify.crops_other2,crops_other2,Specify.other.crop..2.
124,survey_grp.SECTION_Crop_Productivity.crops_other_specify.crops_other3,crops_other3,Specify.other.crop..3.
125,survey_grp.SECTION_Crop_Productivity.farm_planning_who,farm_planning_who,Who.decided.which.crops.to.plant.
126,survey_grp.SECTION_Crop_Productivity.vegetables_which,vegetables_which,What.vegetables.does.your.household.grow.
127,survey_grp.SECTION_Crop_Productivity.fruits_which,fruits_which,What.fruits.and.fruit.trees.does.your.household.have.
128,survey_grp.SECTION_Crop_Productivity.harvest_time_group.harvest_early,harvest_early,Did.you.harvest.any.of.your.crops.early.during.the.last.12.months.
129,survey_grp.SECTION_Crop_Productivity.harvest_time_group.early_harvest_crops,early_harvest_crops,Which.crops.did.you.harvest.early.
130,survey_grp.SECTION_Crop_Productivity.harvest_time_group.early_harvest_reasons,early_harvest_reasons,Why.did.you.harvest.the.crops.early.
131,survey_grp.SECTION_Crop_Productivity.harvest_time_group.early_harvest_reasons_other,early_harvest_reasons_other,Define..other..
132,survey_grp.SECTION_Crop_Productivity.crops,crops,Out.of.all.of.the.crops.grown.by.your.household.in.the.last.12.months..which.were.the.MOST.IMPORTANT.
133,survey_grp.SECTION_Crop_Productivity.crop_count,crop_count,crop_count
134,survey_grp.SECTION_Crop_Productivity.crop_repeat_count,crop_repeat_count,crop_repeat_count
135,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_number,crop_rep_number_1,crop_rep_number
136,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_name,crop_name_1,I.m.going.to.ask.you.about.each.of.these.most.important.crops.now..Define.crop.number...crop_rep_number..
137,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_label,crop_label_1,crop_label
138,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.season_grown,season_grown_1,In.which.season.did.you.plant...crop_label..
139,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_harvest,crop_harvest_1,During.the.12.months..was.the...crop_label..harvest.good.or.bad.
140,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_yield,crop_yield_1,About.how.much...crop_label..did.you.harvest.during.the.last.12.months.
141,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_yield_units,crop_yield_units_1,Crop.yield.Units.
142,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_intercrop,crop_intercrop_1,Did.you.grow...crop_label..intercropped.with.other.plants.
143,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_land_area,crop_land_area_1,About.how.much.of.your.land.did.you.use.for.growing...crop_label..during.the.last.12.months.
144,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_land_area_units,crop_land_area_units_1,Unit.of.land.area..4
145,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details.crop_manage_who,crop_manage_who_1,Who.mainly.takes.care.of.the...crop_label..
146,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_details_other.crop_yield_units_other,crop_yield_units_other_1,Specify.the.crop.yield..other..units.
147,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_use_details.crop_use,crop_use_1,What.did.you.do.with.the.main.harvest.of...crop_label..during.the.last.12.months..Did.you.eat.it..use.at.home..sell.it.
148,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_consumed_prop,crop_consumed_prop_1,About.how.much.of.the...crop_label..was.consumed.or.used.by.the.household.during.the.last.12.months.
149,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_seed_saved_prop,crop_seed_saved_prop_1,About.how.much.of.the...crop_label..was.saved.for.seed.during.the.last.12.months.
150,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_sold_prop,crop_sold_prop_1,About.how.much.of.the...crop_label..was.sold.during.the.last.12.months.
151,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_sell_later_prop,crop_sell_later_prop_1,About.how.much.of.the...crop_label..is.stored.and.you.plan.to.sell.later.
152,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_feed_lstk_prop,crop_feed_lstk_prop_1,About.how.much.of.the...crop_label..was.fed.to.livestock.during.the.last.12.months.
153,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_trade_prop,crop_trade_prop_1,About.how.much.of.the...crop_label..was.exchanged.during.the.last.12.months.
154,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_give_prop,crop_give_prop_1,About.how.much.of.the...crop_label..was.given.away.during.the.last.12.months.
155,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_sold_income_group.crop_sold_income,crop_sold_income_1,How.much.money.did.you.make.from.selling...crop_label..during.the.last.12.months.
156,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_sold_income_group.crop_sold_price_quantityunits,crop_sold_price_quantityunits_1,sale.price.units.
157,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_sale_other_units.crop_price_quantityunits_other,crop_price_quantityunits_other_1,Specify.the.crop.sale.price..other..units.
158,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_who.crop_sale_where,crop_sale_where_1,Where..or.to.who..are.the...crop_label..usually.sold.
159,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_who.crop_who_control_revenue,crop_who_control_revenue_1,Who.usually.decides.what.do.to.with.the.income.from.selling.the...crop_label..
160,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_who.crop_consume_control,crop_consume_control_1,Who.usually.decides.when.to.eat.the...crop_label..
161,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.residues_g1.crop_residue_use,crop_residue_use_1,What.did.you.do.with.the.crop.residues.from.the...crop_label..during.the.last.12.months.
162,survey_grp.SECTION_Crop_Productivity.crop_repeat.1..crop_rep_grp.crop_harvest_g1.crop_residue_sale_income,crop_residue_sale_income_1,About.how.much.money.did.you.make.from.selling...crop_label..residues.in.the.last.12.months.
163,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_number,crop_rep_number_2,crop_rep_number.1
164,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_name,crop_name_2,I.m.going.to.ask.you.about.each.of.these.most.important.crops.now..Define.crop.number...crop_rep_number...1
165,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_label,crop_label_2,crop_label.1
166,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.season_grown,season_grown_2,In.which.season.did.you.plant...crop_label...1
167,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_harvest,crop_harvest_2,During.the.12.months..was.the...crop_label..harvest.good.or.bad..1
168,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_yield,crop_yield_2,About.how.much...crop_label..did.you.harvest.during.the.last.12.months..1
169,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_yield_units,crop_yield_units_2,Crop.yield.Units..1
170,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_intercrop,crop_intercrop_2,Did.you.grow...crop_label..intercropped.with.other.plants..1
171,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_land_area,crop_land_area_2,About.how.much.of.your.land.did.you.use.for.growing...crop_label..during.the.last.12.months..1
172,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_land_area_units,crop_land_area_units_2,Unit.of.land.area..5
173,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details.crop_manage_who,crop_manage_who_2,Who.mainly.takes.care.of.the...crop_label...1
174,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_details_other.crop_yield_units_other,crop_yield_units_other_2,Specify.the.crop.yield..other..units..1
175,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_use_details.crop_use,crop_use_2,What.did.you.do.with.the.main.harvest.of...crop_label..during.the.last.12.months..Did.you.eat.it..use.at.home..sell.it..1
176,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_consumed_prop,crop_consumed_prop_2,About.how.much.of.the...crop_label..was.consumed.or.used.by.the.household.during.the.last.12.months..1
177,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_seed_saved_prop,crop_seed_saved_prop_2,About.how.much.of.the...crop_label..was.saved.for.seed.during.the.last.12.months..1
178,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_sold_prop,crop_sold_prop_2,About.how.much.of.the...crop_label..was.sold.during.the.last.12.months..1
179,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_sell_later_prop,crop_sell_later_prop_2,About.how.much.of.the...crop_label..is.stored.and.you.plan.to.sell.later..1
180,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_feed_lstk_prop,crop_feed_lstk_prop_2,About.how.much.of.the...crop_label..was.fed.to.livestock.during.the.last.12.months..1
181,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_trade_prop,crop_trade_prop_2,About.how.much.of.the...crop_label..was.exchanged.during.the.last.12.months..1
182,survey_grp.SECTION_Crop_Productivity.crop_repeat.2..crop_rep_grp.crop_harvest_g1.crop_use_quantities.crop_give_prop,crop_give_prop_2,About.how.much.of.the...crop_label..was.given.away.during.the.last.12.months..1
